Age,Year,Type of Registration,All ages  
25 - 29,1992,Outside Marriage (or Civil Partnership),55870
25 - 29,1993,Outside Marriage (or Civil Partnership),57505
25 - 29,1994,Outside Marriage (or Civil Partnership),58497
25 - 29,1995,Outside Marriage (or Civil Partnership),59563
25 - 29,1996,Outside Marriage (or Civil Partnership),62333
25 - 29,1997,Outside Marriage (or Civil Partnership),63409
25 - 29,1998,Outside Marriage (or Civil Partnership),62397
25 - 29,1999,Outside Marriage (or Civil Partnership),61215
25 - 29,2000,Outside Marriage (or Civil Partnership),59095
25 - 29,2001,Outside Marriage (or Civil Partnership),56795
25 - 29,2002,Outside Marriage (or Civil Partnership),55796
25 - 29,2003,Outside Marriage (or Civil Partnership),58237
25 - 29,2004,Outside Marriage (or Civil Partnership),61445
25 - 29,2005,Outside Marriage (or Civil Partnership),64391
25 - 29,2006,Outside Marriage (or Civil Partnership),69294
25 - 29,2007,Outside Marriage (or Civil Partnership),75967
25 - 29,2008,Outside Marriage (or Civil Partnership),82607
25 - 29,2009,Outside Marriage (or Civil Partnership),85630
25 - 29,2010,Outside Marriage (or Civil Partnership),90768
25 - 29,2011,Outside Marriage (or Civil Partnership),93204
25 - 29,2012,Outside Marriage (or Civil Partnership),95815
25 - 29,2013,Outside Marriage (or Civil Partnership),94587
25 - 29,2014,Outside Marriage (or Civil Partnership),97176
25 - 29,2015,Outside Marriage (or Civil Partnership),100718
25 - 29,2016,Outside Marriage (or Civil Partnership),102014
25 - 29,2017,Outside Marriage (or Civil Partnership),101705
25 - 29,2018,Outside Marriage (or Civil Partnership),98361
25 - 29,2019,Outside Marriage (or Civil Partnership),95831
25 - 29,2020,Outside Marriage (or Civil Partnership),92059
25 - 29,1938,Within Marriage (or Civil Partnership),194112
25 - 29,1939,Within Marriage (or Civil Partnership),194300
25 - 29,1940,Within Marriage (or Civil Partnership),185259
25 - 29,1941,Within Marriage (or Civil Partnership),173669
25 - 29,1942,Within Marriage (or Civil Partnership),192483
25 - 29,1943,Within Marriage (or Civil Partnership),186159
25 - 29,1944,Within Marriage (or Civil Partnership),189411
25 - 29,1945,Within Marriage (or Civil Partnership),166833
25 - 29,1946,Within Marriage (or Civil Partnership),234285
25 - 29,1947,Within Marriage (or Civil Partnership),268852
